Omelett med ost;Den här snabblagade omeletten passar perfekt när man är på språng.;1. Knäck två ägg vispa ihop med lite mjölk, salt och peppar. 2. Stek på medium värme i en panna med smör, toppa med ost och servera.;Lunch;1
Krämig kycklinggratäng;En smaskig kycklinggratäng med influenser från Italien.;1.Värm ugnen till 180 grader, varmluft. 2. Koka ris enligt paketets anvisningar. 3. Bryn kycklingen tills den får lite färg, ca 5 minuter. Krydda med salt och peppar. Lägg kycklingen i en ugnsform. 4. Hacka vitlök, chili och soltorkade tomater. Fräs detta i olja i ca 2 minuter. 5. Krydda med timjan och oregano samt tillsätt buljongen. Häll i grädde och parmesanost. Låt sjuda tills osten smält. 6. Ös kycklingen med såsen med hjälp av en sked. Grädda i mitten av ugnen i ca 15 minuter. 7. När gratängen är färdig toppa med körsbärstomater och basilikablad. Färdigt att avnjutas!;Middag;1
Rostad grönsakssoppa med Libabröd;Mustig soppa till ruggiga vinterkvällar.;1. Värm ugnen till 200 grader. 2. Skala morot, lök och vitlök och hacka till lagom storlek. Kärna ur paprikan och skär tillsammans med aubergine, blomkål, zucchini och tomater. Klä en plåt med bakplåtspapper, lägg alla grönsaker där i och ringla olivolja, strö salt och peppar över alltsammans. 3. Rosta grönsakerna i ugnen i ca 35-40 minuter. Tills de börjar se gyllenbruna ut. (Låt ugnen stå på för att värma brödet innan servering.) 4. Lägg alla grönsaker i en stor kastrull och häll över buljong. 5. Koka upp och låt sjuda i 10-15 minuter. Lägg till kokosmjölk och mixa soppan slät med en stavmixer eller i en matberedare. 6. Garnera med timjan och grekisk yoghurt. 7. Skär brödet i bitar och pensla med olivolja. Strö över färsk timjan och salt. 8.Tillaga i ugn tills brödet fått färg.;Middag;1
Lyxig lax med citronslungad blomkål;Bjud på fräsch och nyttig lax till middag!;1. Med hjälp av en stavmixer mixa olja, dill och babyspenat tills det nästan ryker i mixern. Det är först när oljan blir varm som spenaten släpper ifrån sig sin fina färg. 2. Rör ihop äggulor och dijonsenap, tillsätt den gröna oljan droppvis tills det blir en tjock majonnäs. Blanda i salt och peppar samt droppa i citronsaft. 3. Vispa citronsaft samt rivet skal, olivolja, honung, dill, salt och peppar till en vinägrett. 4. Värm ugnen till 150 grader. 5. Lägg laxen i en ugnsform du penslar med olivolja. Tillaga mitt i ugnen i ca 20 minuter. 6. Koka upp en kastrull med vatten och salt. Skär blomkålsbuketter och koka i 5-10 minuter beroende på storlek. Häll av vattnet och slunga blomkålen i citron vinägretten. 7. Garnera med dill och låt smaka!;Middag;1
Vårrullar med jordnötsdipp; Detta är en social och rolig rätt som delvis görs klar när ni sitter vid bordet.;1. Detta är en social och rolig rätt som delvis görs klar när ni sitter vid bordet. 2. Koka upp vattnet. Dra av kastrullen från värmen och blanda ner jordnötssmör, sweet chilisås och soja. Låt svalna. 3. Skär tofun i stavar. Skala morötterna och skär i tunna strimlor. Dela, kärna ur och gröp ur avokadorna, skiva dem. Ansa och skiva salladslöken. Lägg upp alla grönsaker och koriander på ett serveringsfat. 4. Sätt fram en stor skål med ljummet vatten på bordet. Var och en doppar sitt eget rispapper i vattnet ca 30 sekunder.  Lyft upp, låt droppa av och lägg det på tallriken. Lägg på grönsakerna och sesamfrö och vik ihop till en rulle. Servera rullarna med dipp och ris.; Middag; 0
Broccolisallad; Läckert tillbehör där färsk broccoli står i centrum.;1. Skär broccolin i små buketter. Skala stjälken om den känns hård. Skär den i tunna skivor. 2. Koka broccolin i lättsaltat vatten ca 40 sekunder. Ta upp med hålslev, låt rinna av och lägg upp på ett fat. 3. Toppa med citronskal, valnötter och parmesan. Ringla över olja och citronjuice. Strö över salt.; Middag; 0
Sesamlax med sojasås; Detta smakrika recept är tillagat av en laxfilé som först smaksatts med tacokrydda och sedan fått ett täcka av sesamfrön över sig.; 1. Skär laxen i skivor eller kuber. Panera laxen i tacokryddan. 2. Hetta upp olja i en panna och stek laxen ca 1 minut på varje sida. Den får gärna vara lite rå inuti (då måste laxen först ha varit fryst i minst 2 dygn). 3. Rosta sesamfrön i en torr panna och strö dem över. Rör ihop soja, honung och ingefära och servera till laxen.;Middag; 0 
Ugnsbakade äpplen med russin och havregryn; Enkel och supergod är den här äppelefterrätten. Äpple, smör, havregryn och russin kryddade med kanel bakas en kort stund i ugnen.; 1. Sätt ugnen på 225°C. 2. Dela och kärna ur äpplena och skär i klyftor. 3. Smält smöret. Blanda smör, äppelklyftor, kanel, havregryn och russin. 4. Lägg blandningen i en ugnsform och sätt in mitt i ugnen ca 15 minuter.; Middag; 2
Blodapelsindessert med mascarpone och pumpakärnor; Efterrätt med blodapelsin som är både söt, syrlig, god och enkel att laga.; 1. Skala apelsinerna med kniv och skär dem i skivor. 2. Stek havregryn och pumpakärnor i smör i en stekpanna några minuter tills havregrynen fått fin färg. Ringla över honungen i slutet. 3. Bred ut mascarponen på 4 assietter (för 4 port). Fördela apelsinskivor på färskosten. Toppa med havregryn och pumpakärnor.;Middag;2
Amerikanska ananaspannkakor; Ananaspannkakor med härlig sötma från krossad ananas.;1. Blanda ägg, mjölk och ananaskross. 2. Blanda mjölet med bakpulver och vaniljsocker. Tillsätt det i äggblandningen och rör till en jämn smet. 3. Stek gyllenbruna pannkakor i matfettet i en stekpanna.;Middag;2
Vegetarisk carpaccio på avokado;Vegansk carpaccio gjord på tunt skivad avokado som toppas med rucolaolja och rostade pinjenötter. Perfekt som förrätt.;1. Lägg hälften av rucolan i en bunke. Pressa i citronsaft och häll över oljan. Mixa till en slät sås. Smaka av med salt. 2. Hetta upp en stekpanna och rostapinjenötterna under omrörning tills de fått fin färg. 3. Skiva avokadon tunt och fördela på 4 tallrikar eller ett större fat. Ringla över rucolaoljan och strö på pinjenötterna. 4. Toppa med resten av rucolan, salt och peppar. Servera ev med citronklyftor.;Lunch;0
Vegetarisk förrätt med gröna ärtor och mynta;Bruschetta med gröna ärtor eller bönor, mynta och pecorino. Perfekt som en riktigt god förrätt eller lättare lunch.;1. Slå lite vatten i botten av en kastrull så det blir varm och slå på bönorna så de hettas upp. Se till att bönorna inte har något hölje på sig, pilla bort det innan de går i kastrullen. 2. Hacka myntan fint. Rosta sedan varje brödskiva i en het panna utan fett så de får lite färg. 3. Blanda myntan och riven ost med bönorna, ta av från värmen och fortsätt med olivolja. Krossa bönorna med en gaffel. Smaka av med salt och peppar. 4. Ta varje rostad brödskiva och gnid in med en vitlöksklyfta. Lägg på bönröran och toppa med nyriven ost och några blad mynta.; Frukost;0
Morotsgranité med citron;Överraska med en morotsglass, en isig granité på sockerlag och morötter.;1. Ansa, skala och skiva morötterna. 2. Tvätta och riv det yttersta av skalet på citronen. 3. Koka upp vatten och socker tillsammans med morötterna. 4. Mixa sockerlag och morötter slätt i en blender. Tillsätt citronskal och citronsaft. Häll upp i en vid bunke och låt svalna. 5. Frys bunken med lagen först ca 2 timmar. Skrapa sedan upp ytan och kanten med en gaffel varannan timme till den har sorbetkonsistens. När den är helt skrapad fyll upp små glas med granitén och servera genast.;Middag;2
Vegansk chokladmousse med avokado och kokosgrädde;Vegansk chokladmousse med avokado och kokosgrädde;1. Dela och kärna ur avokadon. Gröp ur och lägg i en bunke. Ta bort det tjocka lagret på kokosgrädden och lägg i bunken tillsammans med vaniljpulver, kakao, agave och flingsalt. Mixa slätt i en matberedare eller med stavmixer. 2. Lägg upp chokladmoussen i glas med färska bär och toppa med kakaonibs.;Middag;2
Pärlcouscous med rödbetor och frukt;Pärlcouscous med rödbetor och frukt är en god vegetarisk rätt som andas fräschör.;1. Koka rödbetorna mjuka, ca 40 minuter. Spola dem i kallt vatten och gnid av skalen. Skär dem i klyftor. 2. Skala och skiva löken tunt. Skär fikonen i skivor. 3. Tillaga couscousen enligt anvisningen på förpackningen. 4. Varva alla ingredienser på ett stort fat. 5. Rör ihop dressingen, krydda med salt och svartpeppar. Häll den över.;Middag;1